Position,"Track Name",Artist,Streams,URL
169,"Daddy Issues","The Neighbourhood",817947,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
170,"Mad at Disney","salem ilese",816198,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
171,"At My Worst","Pink Sweat$",808687,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
172,"ily (i love you baby) (feat. Emilee)","Surf Mesa",805593,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
173,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",803258,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
174,"WITHOUT YOU","The Kid LAROI",797174,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
175,"Intentions (feat. Quavo)","Justin Bieber",796758,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
176,"7 rings","Ariana Grande",793656,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
177,"Ride It",Regard,788315,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
178,"Go Crazy","Chris Brown",784038,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
179,Azul,"J Balvin",780060,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
180,"Electric Love",BØRNS,775078,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
181,"when the party's over","Billie Eilish",772490,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
182,ROXANNE,"Arizona Zervas",771908,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
183,"All of Me","John Legend",761900,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
184,"Plastic Hearts","Miley Cyrus",755214,https://open.spotify.com/track/6qCsKKS7Ol63SJW3LOIX5R
185,"De Cora <3","Rauw Alejandro",751620,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
186,"Toosie Slide",Drake,746801,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
187,SAD!,XXXTENTACION,745193,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
188,"ALWAYS DO","The Kid LAROI",744064,https://open.spotify.com/track/3QCU8BT0zDS9LPVfEhRFEE
189,"Si Me Tomo Una Cerveza",Migrantes,740050,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
